First,Last,Emp ID,DOB,Masked SSN,States
Michelle,Carr,561,06/22/1978,xxxxx5-2759,CT
Andrew,Love,617,05/27/1991,xxxxx7-9696,OH
Anna,Bennett,515,06/20/1977,xxxxx1-6909,TN
William,Watts,644,10/12/1989,xxxxx0-6883,MN
Cynthia,Williams,450,12/23/1978,xxxxx4-5994,NY
Bruce,Miles,216,01/21/1982,xxxxx2-0969,IA
Amanda,Wilson,88,05/23/1972,xxxxx9-0767,NE
Joshua,Riley,130,11/08/1983,xxxxx9-4874,IN
Carla,Torres,408,02/23/1987,xxxxx8-7599,CT
Mark,Green,105,06/14/1977,xxxxx3-6893,AZ
Stephanie,Goodwin,580,02/25/1986,xxxxx9-5702,NC
Cameron,Allen,388,01/02/1986,xxxxx9-8341,ID
Harold,Li,316,05/11/1983,xxxxx1-2966,GA
Sara,Curry,196,06/05/1984,xxxxx8-1678,ID
Caroline,Wyatt,366,11/12/1979,xxxxx0-7063,NY
Nicole,Perez,331,09/28/1982,xxxxx2-1455,MT
Jacqueline,Garcia,63,01/31/1991,xxxxx0-8953,NC
Alexander,Wright,651,04/18/1979,xxxxx9-7263,MN
Heather,Farrell,497,01/11/1978,xxxxx6-0338,MA
Joseph,Fernandez,14,06/01/1978,xxxxx2-4971,IL
Timothy,Chandler,52,03/26/1978,xxxxx2-3897,NM
Gregory,Jackson,456,06/06/1973,xxxxx9-0058,WY
Thomas,Patterson,412,05/06/1977,xxxxx5-4561,VA
Timothy,Suarez,283,01/12/1977,xxxxx7-3073,WI
Jennifer,Jensen,174,03/09/1991,xxxxx1-4293,GA
Andrew,Hogan,509,06/08/1990,xxxxx6-5943,ND
Dale,Hartman,254,10/01/1993,xxxxx5-9502,ME
Jennifer,Williams,531,02/27/1977,xxxxx1-9054,OK
Antonio,Perez,104,02/09/1980,xxxxx2-4115,NC
Joshua,Hicks,549,01/07/1985,xxxxx9-4786,KS
Edward,Thompson,183,08/31/1994,xxxxx9-8605,OH
Lee,Zamora,612,03/17/1979,xxxxx0-3321,UT
Wyatt,Rivers,492,02/07/1984,xxxxx0-5135,KY
Michelle,Reeves,27,11/23/1972,xxxxx3-1066,PA
Joanna,Hopkins,287,04/17/1973,xxxxx3-2714,MA
Joseph,Mitchell,584,05/18/1980,xxxxx4-7441,VA
Ariel,Ray,624,09/11/1972,xxxxx9-2732,OR
Shawn,Murray,53,10/30/1990,xxxxx2-5217,MS
Jose,Spears,206,03/01/1976,xxxxx8-2675,NH
Caroline,Mayer,211,05/03/1973,xxxxx2-2487,WY
David,Weaver,646,08/11/1976,xxxxx6-2750,ME
Kelly,Sullivan,336,04/12/1988,xxxxx6-7284,NV
Kyle,Ramirez,555,05/30/1984,xxxxx2-2839,WA
Carrie,Davis,560,06/20/1984,xxxxx1-6558,WA
Catherine,Martinez,203,04/28/1990,xxxxx9-6917,NM
Amanda,Lewis,217,12/05/1988,xxxxx4-0504,MT
Katherine,Bailey,371,03/04/1994,xxxxx0-3545,WV
Rodney,Smith,605,05/08/1975,xxxxx1-3105,NH
Savannah,Saunders,337,05/12/1984,xxxxx3-2473,IA
Claudia,Oneal,381,04/01/1987,xxxxx3-9008,TX
Roy,Johnson,508,03/30/1984,xxxxx1-6344,AK
Michelle,Smith,58,07/08/1982,xxxxx5-6834,NV
Amanda,Haney,401,04/11/1983,xxxxx7-9019,IA
Theresa,Fletcher,163,10/22/1992,xxxxx9-0535,VA
Debra,Green,548,07/20/1988,xxxxx9-5376,SC
John,Cox,161,12/11/1985,xxxxx2-7739,OH
Beth,Harris,464,12/22/1982,xxxxx2-5871,RI
Erica,Mcconnell,476,07/01/1981,xxxxx8-0878,MA
Kimberly,Johnson,208,01/22/1992,xxxxx2-4304,PA
Kyle,Aguirre,378,10/24/1973,xxxxx7-4469,NE
Nicole,English,654,04/30/1977,xxxxx2-9164,HI
Bonnie,Turner,585,04/01/1973,xxxxx8-0208,MD
Maurice,Gillespie,621,09/07/1984,xxxxx1-8509,GA
Corey,Adams,300,10/08/1988,xxxxx3-2578,OR
Brett,Nelson,640,06/20/1986,xxxxx4-3049,MD
Melody,Nelson,297,01/23/1979,xxxxx1-1931,VA
James,Young,209,04/12/1980,xxxxx7-8557,ME
Robert,Smith,320,04/14/1994,xxxxx7-0748,MS
Caroline,Larson,242,05/05/1990,xxxxx1-7178,LA
Megan,Robinson,258,03/24/1973,xxxxx4-1601,WV
Shawn,Edwards,570,01/19/1978,xxxxx4-4865,LA
David,Evans,417,09/15/1977,xxxxx8-6773,WA
Julie,Price,281,01/20/1993,xxxxx0-3599,PA
Briana,Webster,436,02/08/1978,xxxxx9-3704,PA
Robin,Oconnor,441,02/27/1978,xxxxx5-0782,NH
Albert,Davidson,425,01/20/1975,xxxxx5-9182,CA
Mark,Chen,553,04/02/1989,xxxxx1-3553,WY
Elizabeth,Lynn,266,02/25/1992,xxxxx9-8647,MA
Tracy,Gonzalez,40,11/01/1983,xxxxx5-4059,WY
Patricia,Fletcher,609,06/30/1979,xxxxx6-2311,RI
Tammy,Salinas,471,12/29/1980,xxxxx8-3850,NC
Roger,Wright,307,03/04/1974,xxxxx7-3080,MO
Kelly,Castillo,353,04/13/1992,xxxxx2-7622,WA
Charles,Kelley,393,04/14/1993,xxxxx5-1133,OK
David,Johnson,607,06/23/1985,xxxxx4-9729,DE
David,Cervantes,483,01/08/1983,xxxxx9-0082,WA
Valerie,Lopez,370,04/10/1983,xxxxx0-0441,AL
Sarah,Hayes,273,11/20/1984,xxxxx3-8195,CT
Christina,Arnold,141,10/20/1979,xxxxx8-2313,NY
Cynthia,Bennett,338,11/26/1973,xxxxx2-7899,MD
Michelle,Huang,15,04/09/1983,xxxxx4-8363,UT
Amanda,Dodson,120,03/04/1973,xxxxx3-6056,KS
Jeff,Hawkins,75,08/10/1992,xxxxx0-5606,IL
Patrick,Taylor,115,07/29/1991,xxxxx9-5595,MO
Elizabeth,Howard,629,11/05/1984,xxxxx0-2641,AZ
Noah,White,299,04/30/1977,xxxxx9-0897,SC
Caroline,Jackson,498,12/29/1983,xxxxx9-4102,DE
Andrea,Wright,445,06/15/1978,xxxxx4-8386,OH
Sara,Smith,582,01/02/1983,xxxxx8-9188,TN
Jennifer,Rodriguez,245,04/23/1974,xxxxx2-2538,NM
Deanna,Terrell,129,02/05/1990,xxxxx9-5743,OK
Kristina,Summers,544,02/17/1989,xxxxx1-3058,OR
Laura,Mercado,377,04/05/1974,xxxxx4-9514,MI
Matthew,Kane,155,11/17/1990,xxxxx1-9385,PA
Tamara,White,440,05/20/1980,xxxxx3-6614,FL
Samantha,Thompson,550,06/04/1976,xxxxx7-9230,NY
John,Mcmillan,47,03/02/1983,xxxxx0-7301,NV
Andrea,Webb,89,12/11/1985,xxxxx9-7815,VA
Lori,Odonnell,145,10/22/1989,xxxxx1-2415,KS
Ronald,Huerta,554,12/13/1973,xxxxx4-6058,OK
Chelsea,Foster,523,03/26/1974,xxxxx4-4094,AK
Daniel,Lopez,499,09/07/1989,xxxxx1-2639,AR
Jonathan,Jones,37,01/13/1977,xxxxx7-7798,MN
Jessica,Gaines,384,04/23/1981,xxxxx3-9332,CO
Timothy,Morris,514,06/16/1981,xxxxx0-2962,WY
Donna,Campbell,260,07/14/1993,xxxxx2-2369,NV
Tonya,Martinez,239,09/04/1972,xxxxx1-7702,IA
Pamela,Moore,420,02/20/1980,xxxxx5-9532,NJ
Michelle,Ali,380,05/05/1993,xxxxx9-3823,KS
Alexander,Gibson,387,10/27/1983,xxxxx7-1036,CO
Jay,Smith,207,03/06/1985,xxxxx4-6315,CT
Teresa,Watkins,318,07/27/1972,xxxxx9-5707,NY
Bradley,Guzman,16,05/08/1980,xxxxx1-2817,WY
Rhonda,Young,61,06/03/1979,xxxxx4-2336,NE
Brandon,Davis,280,07/22/1977,xxxxx3-1621,AZ
Brandon,Farmer,13,08/10/1980,xxxxx1-2601,TX
Barbara,Murphy,563,10/30/1989,xxxxx1-9225,AR
James,King,569,04/21/1978,xxxxx2-1432,AK
Drew,Kelly,575,03/25/1993,xxxxx2-3264,WA
Virginia,Wise,319,02/18/1982,xxxxx2-8887,OR
Mary,Hernandez,122,01/29/1990,xxxxx1-5268,NY
Ryan,Russell,520,01/06/1975,xxxxx1-3828,HI
Amanda,Smith,489,08/05/1989,xxxxx8-3579,DE
Morgan,Dunn,136,07/13/1980,xxxxx7-1601,AZ
Kimberly,Shaw,142,06/11/1973,xxxxx4-7577,MA
Kathleen,Klein,250,01/15/1990,xxxxx2-3388,NM
Diana,Meyers,383,09/13/1972,xxxxx1-4296,TN
Logan,Smith,650,03/26/1990,xxxxx3-0194,MN
Tracy,Martin,231,05/03/1975,xxxxx1-0726,AK
Edwin,Martin,431,02/13/1988,xxxxx6-9168,MO
Kelly,Moran,306,07/14/1976,xxxxx8-0670,NV
Robert,Smith,151,01/12/1987,xxxxx7-2300,ID
Jane,Martinez,519,01/30/1991,xxxxx5-3977,AZ
Denise,Castillo,172,10/10/1983,xxxxx8-0042,LA
Jonathon,Brock,121,04/30/1980,xxxxx4-9917,CO
Amanda,Franco,140,09/24/1994,xxxxx5-5413,AK
Heather,Robinson,48,11/20/1985,xxxxx6-1929,MN
Kathryn,Stout,282,08/24/1987,xxxxx3-9637,IA
Cory,Hopkins,42,03/13/1977,xxxxx3-9491,AK
Ryan,Snyder,247,07/14/1982,xxxxx0-9330,MA
Sara,Walker,59,08/16/1985,xxxxx6-5423,NE
Daniel,Garcia,137,04/21/1979,xxxxx1-3001,WI
Paul,Evans,257,06/25/1977,xxxxx0-4302,MN
Elizabeth,Olson,343,01/22/1976,xxxxx1-7163,MA
Ann,Romero,195,10/27/1989,xxxxx1-4046,DE
Thomas,Jensen,268,02/23/1991,xxxxx4-3430,OH
Brian,Davila,558,07/05/1982,xxxxx3-3711,DE
Donna,Howard,70,03/31/1990,xxxxx6-7432,MS
Kimberly,Massey,28,01/01/1981,xxxxx2-4649,MO
Jeremy,Cross,132,11/22/1987,xxxxx2-4632,HI
Dennis,Thomas,335,06/11/1989,xxxxx6-5032,IN
Kenneth,Martin,349,08/24/1989,xxxxx1-4681,MI
Tyler,Brewer,510,06/28/1972,xxxxx1-9006,HI
Scott,Brooks,36,02/24/1972,xxxxx2-4958,NY
Derrick,Fritz,430,12/05/1982,xxxxx8-0071,IA
Christine,Munoz,376,11/17/1974,xxxxx8-0149,MO
Julie,Robbins,226,11/23/1976,xxxxx3-4571,IN
Rachel,Cook,240,03/03/1982,xxxxx5-9042,NM
Kyle,Hoffman,291,12/25/1984,xxxxx3-7692,MT
Nancy,Nguyen,619,07/05/1976,xxxxx5-3939,VA
John,Wells,424,05/25/1993,xxxxx4-3026,NH
Robert,Ellison,212,07/16/1979,xxxxx3-9579,NE
Keith,Robinson,263,04/15/1978,xxxxx8-3579,NC
Dennis,Osborn,443,11/15/1973,xxxxx2-3531,MA
Ronald,Hays,26,12/21/1993,xxxxx9-6430,TX
Leslie,Brown,491,06/15/1973,xxxxx6-1806,NJ
Maria,Chapman,114,12/20/1973,xxxxx2-7300,OK
Melissa,Torres,434,03/22/1981,xxxxx4-6921,NM
Joshua,Weaver,615,11/20/1982,xxxxx8-7030,IA
Crystal,Martin,525,08/29/1993,xxxxx5-0679,ME
Sheri,Ball,44,08/04/1991,xxxxx1-7548,AZ
Steven,Ritter,475,02/11/1986,xxxxx3-8004,OH
Linda,Krause,529,12/22/1978,xxxxx5-4382,SD
John,Myers,83,07/25/1989,xxxxx3-1869,NJ
Mark,White,275,09/09/1992,xxxxx7-7830,ID
Diana,Smith,190,12/02/1973,xxxxx8-3506,IL
Karen,Lyons,423,06/09/1990,xxxxx9-9081,OK
Laura,Glenn,581,10/20/1992,xxxxx7-1468,TX
Diana,Spence,177,09/20/1983,xxxxx5-4751,MA
Samantha,Farley,573,07/10/1977,xxxxx5-2351,WA
Kayla,Mitchell,46,10/13/1975,xxxxx5-9155,WI
Crystal,Myers,17,12/31/1980,xxxxx3-6532,OH
Brooke,Jones,101,04/09/1979,xxxxx0-2606,TN
John,Mueller,261,03/22/1987,xxxxx6-7849,MD
Karla,Rosales,435,07/10/1983,xxxxx5-1729,IL
Jennifer,Brown,448,08/23/1977,xxxxx3-0700,MA
Blake,Jimenez,597,09/10/1977,xxxxx5-3810,KS
Michael,Garcia,628,11/05/1980,xxxxx4-4294,IL
Jermaine,Quinn,610,12/24/1989,xxxxx2-1754,CA
Patricia,Cruz,113,04/22/1976,xxxxx8-3822,IN
Cameron,Mcintosh,235,02/01/1975,xxxxx2-8921,NV
Michelle,Brewer,21,06/10/1988,xxxxx4-6836,OK
Hannah,Nolan,362,09/15/1978,xxxxx6-1332,OK
Erica,Johnson,368,05/27/1978,xxxxx5-9413,LA
Jeremy,Obrien,323,01/13/1982,xxxxx7-7592,OR
